event,file,A_baseline_mV,A_positive_excursion_mV,A_positive_time_ns,A_negative_excursion_mV,A_negative_time_ns,B_baseline_mV,B_positive_excursion_mV,B_positive_time_ns,B_negative_excursion_mV,B_negative_time_ns,C_baseline_mV,C_positive_excursion_mV,C_positive_time_ns,C_negative_excursion_mV,C_negative_time_ns,D_baseline_mV,D_positive_excursion_mV,D_positive_time_ns,D_negative_excursion_mV,D_negative_time_ns
1582,event_001582.csv,0.0,39.98524,-100.0,0.0,-96.0,0.0,39.52387,-96.0,-39.52387,-36.0,158.5568,79.20159999999998,-40.0,-79.35527,-12.0,23.80659,31.742130000000003,0.0,-15.871058999999999,-40.0
1583,event_001583.csv,0.0,39.98524,-92.0,-39.98524,-36.0,0.0,39.52387,-100.0,-39.52387,-96.0,158.5568,79.20159999999998,136.0,-79.35527,-100.0,23.80659,23.806600000000003,0.0,-23.80659,20.0
1584,event_001584.csv,0.0,39.98524,-76.0,0.0,-100.0,0.0,39.52387,-88.0,-39.52387,-20.0,118.8792,79.20150000000001,-96.0,-39.67766999999999,-20.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-36.0
1585,event_001585.csv,0.0,39.98524,-96.0,-39.98524,4.0,0.0,39.52387,-96.0,-39.52387,-76.0,118.8792,79.20150000000001,24.0,-79.35533,132.0,27.77436,19.83883,0.0,-19.838829,-28.0
1586,event_001586.csv,0.0,39.98524,-56.0,-39.98524,76.0,0.0,39.52387,-96.0,-39.52387,-24.0,158.5568,39.5239,-40.0,-79.35527,108.0,23.80659,23.806600000000003,0.0,-7.93553,-40.0
1587,event_001587.csv,0.0,39.98524,-84.0,-39.98524,-44.0,0.0,39.52387,-32.0,-39.52387,12.0,118.8792,79.20150000000001,56.0,-39.67766999999999,-60.0,15.87106,31.742130000000003,0.0,-15.87106,-40.0
1588,event_001588.csv,0.0,39.98524,-92.0,0.0,-100.0,0.0,39.52387,-72.0,-39.52387,-100.0,118.8792,118.8792,192.0,-39.67766999999999,-68.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-52.0
1589,event_001589.csv,0.0,39.98524,-88.0,-39.98524,-92.0,0.0,39.52387,-96.0,-39.52387,-68.0,178.31875000000002,257.67415,196.0,-99.11722000000002,-12.0,23.80659,23.806600000000003,0.0,-7.93553,-52.0
1590,event_001590.csv,0.0,39.98524,-96.0,-39.98524,-36.0,0.0,39.52387,-88.0,-39.52387,-92.0,118.8792,79.20150000000001,8.0,-39.67766999999999,-100.0,15.87106,31.742130000000003,0.0,-15.87106,20.0
1591,event_001591.csv,0.0,39.98524,-88.0,-39.98524,-20.0,0.0,39.52387,-48.0,-39.52387,76.0,118.8792,118.8792,16.0,-79.35533,76.0,23.80659,23.806600000000003,0.0,-15.871058999999999,20.0
1592,event_001592.csv,0.0,39.98524,-96.0,-39.98524,-36.0,0.0,39.52387,-96.0,-39.52387,4.0,118.8792,79.20150000000001,16.0,-39.67766999999999,-100.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-20.0
1593,event_001593.csv,0.0,39.98524,-32.0,0.0,-100.0,0.0,39.52387,-96.0,-39.52387,-40.0,118.8792,79.20150000000001,-56.0,-39.67766999999999,-96.0,23.80659,23.806600000000003,0.0,-7.93553,-52.0
1594,event_001594.csv,0.0,39.98524,-92.0,-39.98524,32.0,0.0,39.52387,-100.0,-39.52387,144.0,118.8792,79.20150000000001,8.0,-39.67766999999999,-92.0,23.80659,23.806600000000003,0.0,-7.93553,-48.0
1595,event_001595.csv,0.0,39.98524,-12.0,-39.98524,156.0,0.0,39.52387,-96.0,-39.52387,40.0,118.8792,79.20150000000001,92.0,-39.67766999999999,-12.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-36.0
1596,event_001596.csv,0.0,39.98524,-88.0,-39.98524,132.0,0.0,39.52387,96.0,-39.52387,-92.0,118.8792,79.20150000000001,104.0,-39.67766999999999,-8.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-28.0
1597,event_001597.csv,0.0,39.98524,-80.0,-39.98524,-8.0,0.0,39.52387,-92.0,-39.52387,24.0,118.8792,79.20150000000001,20.0,-39.67766999999999,-16.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-28.0
1598,event_001598.csv,0.0,39.98524,-44.0,-39.98524,-80.0,0.0,79.20153,-44.0,-39.52387,56.0,118.8792,198.2345,-100.0,-79.35533,40.0,23.80659,23.806600000000003,0.0,-15.871058999999999,28.0
1599,event_001599.csv,0.0,39.98524,-96.0,-39.98524,-76.0,0.0,39.52387,-64.0,-39.52387,-20.0,158.5568,39.5239,24.0,-119.03293000000001,124.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-36.0
1600,event_001600.csv,0.0,39.98524,-88.0,-39.98524,-20.0,0.0,39.52387,-96.0,-39.52387,-44.0,118.8792,118.8792,4.0,-39.67766999999999,-80.0,23.80659,23.806600000000003,0.0,-7.93553,-52.0
1601,event_001601.csv,0.0,39.98524,-92.0,-39.98524,80.0,0.0,39.52387,-48.0,-39.52387,-8.0,118.8792,396.46900000000005,-40.0,-39.67766999999999,-88.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1602,event_001602.csv,0.0,39.98524,-96.0,-39.98524,-52.0,0.0,39.52387,-32.0,-39.52387,4.0,118.8792,79.20150000000001,20.0,-79.35533,-84.0,19.838825,27.774365000000003,0.0,-11.903293999999999,-100.0
1603,event_001603.csv,0.0,39.98524,-56.0,-39.98524,-44.0,0.0,79.20153,32.0,-39.52387,-60.0,138.71800000000002,59.36269999999999,-56.0,-59.51647000000001,-12.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-64.0
1604,event_001604.csv,0.0,39.98524,-72.0,0.0,-100.0,0.0,39.52387,-88.0,-39.52387,-100.0,118.8792,79.20150000000001,-28.0,-39.67766999999999,-68.0,15.87106,31.742130000000003,0.0,-7.935529,-28.0
